carpeta,actual,nuevo,fecha_descarga
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1423.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1423.pdf,2026-04-07 20:14:54
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1424.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1424.pdf,2026-04-07 20:15:00
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1425.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1425.pdf,2026-04-07 20:15:08
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1426.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1426.pdf,2026-04-07 20:15:14
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1427.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1427.pdf,2026-04-07 20:15:21
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1428.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1428.pdf,2026-04-07 20:15:26
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1429.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1429.pdf,2026-04-07 20:15:33
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1430.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1430.pdf,2026-04-07 20:15:41
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1431.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1431.pdf,2026-04-07 20:15:54
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1432.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1432.pdf,2026-04-07 20:15:58
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1433.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1433.pdf,2026-04-07 20:16:05
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1434.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1434.pdf,2026-04-07 20:16:11
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1435.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1435.pdf,2026-04-07 20:16:15
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1436.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1436.pdf,2026-04-07 20:16:22
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1437.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1437.pdf,2026-04-07 20:16:30
